season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,Data in Google forms,notes
14,24,2013,Her Negotiation,"Assault, indecent exposure, rape, kidnapping, torture, murder",5,"4 female, 1 male","4 white, 1 hispanic",1,Male,White,,
15,1,2013,Surrender Benson,"Kidnapping, torture, murder, rape",6,"4 female, 2 male","4 white, 2 hispanic",1,Male,White,,
15,2,2013,Imprisoned Lives,"Kidnapping, rape",3,Female,"2 white, 1 black",1,Male,White,,
15,3,2013,American Tragedy,Rape,3,Female,White,1,Male,Black,,
15,4,2013,Internal Affairs,Rape,1,Female,White,2,"1 male, 1 female",White,,
15,5,2013,Wonderland Story,Rape,2,Female,White,1,Male,White,,
15,6,2013,October Surprise,Possession of child pornography,1,Female,White,1,Male,Hispanic,,
15,7,2013,Dissonant Voices,Filing false charges,1,Male,Black,2,Female,White,,
15,8,2013,Military Justice,Rape,1,Female,White,4,Male,White,,
15,9,2013,Rapist Anonymous,Murder,1,Male,White,1,Female,White,,
15,10,2014,Psycho/Therapist,No crime,0,-,-,0,-,-,,"Episode is the aftermath of crimes from previous episodes, registered in other entries"
15,11,2014,Amaro's One-Eighty,No crime,0,-,-,0,-,-,,Only action was a legitimate shootout in which a police officer wounded a suspect. No charges
15,12,2014,Jersey Breakdown,"Rape, murder",2,"1 female, 1 male",White,2,Male,White,,
15,13,2014,Betrayal's Climax,"Rape, assault, murder",3,"2 female, 2 male","3 white, 1 hispanic",3,Male,Hispanic,,
15,14,2014,Wednesday's Child,"Kidnapping, child pornography",4,"3 female, 1 male","2 white, 2 asian",2,"1 male, 1 female",White,,
15,15,2014,Comic Perversion,"Attempted rape, false charges",2,"1 female, 1 male",White,3,"2 male, 1 female",White,,
15,16,2014,Gridiron Soldier,"Assault, sexual assault, blackmail",3,Male,"2 white, 1 black",6,"5 male, 1 female","2 black,  1 asian, 2 unknown",,
15,17,2014,Gambler's Fallacy,"Blackmail, rape",2,Female,"1 white, 1 hispanic",3,"2 male, 1 female","1 white, 1 black, 1 hispanic",,
15,18,2014,Criminal Stories,Rape,1,Female,White,2,Male,White,,Victim is from the Middle East or Middle Eastern descent
15,19,2014,Downloaded Child,"Rape, child pornography",1,Female,White,3,Male,White,,
15,20,2014,Beast's Obsession,"Murder, kidnapping, rape, assault",10,"4 male, 6 female","7 white, 2 black, 1 asian",1,Male,White,,
15,21,2014,Post-Mortem Blues,No crime,0,-,-,0,-,-,,"Episode is the aftermath of crimes from previous episodes, registered in other entries"
15,22,2014,Reasonable Doubt,Rape,2,Female,White,1,Male,White,,
15,23,2014,Thought Criminal,Assault,1,Male,White,1,Male,Hispanic,,
15,24,2014,Spring Awakening,"Rape, assault, murder",2,"1 male, 1 female",White,6,Male,Hispanic,,
16,1,2014,Girls Disappeared,"Attempted murder, murder, kidnapping, forced prostitution",5,"2 female, 3 male","3 hispanic, 2 white",5,Male,Hispanic,,
16,2,2014,American Disgrace,Filing false charges,1,Male,Black,4,"3 female, 1 male","1 black, 3 white",,
16,3,2014,Producer's Backend,Rape,2,"1 male, 1 female",White,2,"1 female, 1 male",White,,
16,4,2014,Holden's Manifesto,"Murder, assault, attempted rape",5,"4 female, 1 male",White,1,Male,White,,
16,5,2014,Pornstar's Requiem,Rape,1,Female,White,2,Male,White,,
16,6,2014,Glasgowman's Wrath,Assault,2,Female,White,1,Female,White,,
16,7,2014,Chicago Crossover,"Kidnapping, rape, child pornography, murder",6,"5 male, 1 female",White,2,Male,"1 white, 1 unknown",,
16,8,2014,Spousal Privilege,Assault,1,Female,Black,1,Male,Black,,
16,9,2014,Pattern Seventeen,"Rape, attempted rape, statutory rape",7,Female,"5 white, 1 black, 1 asian",1,Male,White,,
16,10,2015,Forgiving Rollins,Rape,2,Female,White,1,Male,White,,
16,11,2015,Agent Provocateur,Statutory rape,1,Female,White,1,Male,White,,
16,12,2015,Padre Sandunguero,Assault,1,Female,Hispanic,1,Male,Hispanic,,
16,13,2015,Decaying Morality,"Rape, kidnapping, murder",2,"1 female, 1 male","1 white, 1 black",2,Male,White,,
16,14,2015,Intimidation Game,"Assault, kidnapping, rape",1,Female,Asian,5,Male,White,,
